title,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,listing_url,price_per_m2,property_age,floor_group,price_segment,surface_segment,city_district,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
Duplex vue piscine et mer Taghazout Bay Taourt,3800000.0,Agadir,Tamraght,,2.0,1.0,1.0,,https://www.avito.ma/fr/tamraght/appartements/Duplex_vue_piscine_et_mer_Taghazout_Bay_Taourt_57541355.htm,,,Low floor,Premium,Unknown,Agadir | Tamraght,1,0,1,1,1,0,0,0
Appartement en vent 51m² à Gueliz-Piscine Rooftop,1267000.0,Marrakech,Guéliz,51.0,1.0,1.0,1.0,,https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vent_51m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57658657.htm,24843.14,,Low floor,Upper mid-range,Medium,Marrakech | Guéliz,1,1,1,1,1,0,0,0
Appartement 95m2 vendables -Palmier,1750000.0,Casablanca,Palmier,95.0,2.0,2.0,0.0,,https://www.avito.ma/fr/palmier/appartements/Appartement_95m2_vendables__Palmier_57820947.htm,18421.05,,Ground floor,Upper mid-range,Medium,Casablanca | Palmier,1,1,1,1,1,0,1,0
Bel appartement à vendre,750000.0,Agadir,Hay Salam,,2.0,1.0,2.0,,https://www.avito.ma/fr/hay_salam/appartements/Bel_appartement_%C3%A0_vendre_57554092.htm,,,Low floor,Mid-range,Unknown,Agadir | Hay Salam,1,0,1,1,1,0,0,0
Appartement à vendre 80 m² à Oujda,260000.0,Oujda,Autre Secteur,80.0,2.0,1.0,1.0,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_57755418.htm,3250.0,,Low floor,Budget,Medium,Oujda | Autre Secteur,1,1,1,1,1,0,0,0
Appartement à vendre 100 m² à Oujda,460000.0,Oujda,Hay El Andalous,100.0,3.0,1.0,3.0,,https://www.avito.ma/fr/hay_el_andalous/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Oujda_54393636.htm,4600.0,,Mid floor,Budget,Large,Oujda | Hay El Andalous,1,1,1,1,1,0,0,0
Appartement économique à vendre,190000.0,Salé,Toute la ville,55.0,2.0,1.0,2.0,,https://www.avito.ma/fr/sal%C3%A9/appartements/Appartement_%C3%A9conomique_%C3%A0_vendre_54265071.htm,3454.55,,Low floor,Budget,Medium,Salé | Toute la ville,1,1,1,1,1,0,0,0
🏡 Superbe appartement à vendre,1450000.0,Marrakech,Hay Izdihar,,3.0,1.0,1.0,,https://www.avito.ma/fr/hay_izdihar/appartements/___Superbe_appartement_%C3%A0_vendre_57648626.htm,,,Low floor,Upper mid-range,Unknown,Marrakech | Hay Izdihar,1,0,1,1,1,0,0,0
Appartement à vendre 100 m² à route jrada,450000.0,Oujda,Route Jerada,100.0,3.0,1.0,1.0,,https://www.avito.ma/fr/route_jerada/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_route_jrada_55095392.htm,4500.0,,Low floor,Budget,Large,Oujda | Route Jerada,1,1,1,1,1,0,0,0
Appartement à vendre 105 m² hay el andalos,370000.0,Oujda,Andalous,105.0,3.0,2.0,1.0,,https://www.avito.ma/fr/andalous/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_hay_el_andalos_57755280.htm,3523.81,,Low floor,Budget,Large,Oujda | Andalous,1,1,1,1,1,0,0,0
Appartement à vendre 3 chambres à Moulay Youssef 119 m²,3000000.0,Casablanca,Moulay Youssef,119.0,3.0,2.0,3.0,,https://www.avito.ma/fr/moulay_youssef/appartements/Appartement_%C3%A0_vendre_3_chambres_%C3%A0_Moulay_Youssef_119_m%C2%B2_57303291.htm,25210.08,,Mid floor,Premium,Large,Casablanca | Moulay Youssef,1,1,1,1,1,0,0,0
