listing_url,price,city,district,surface_m2,rooms,bathrooms,floor,construction_year,price_per_m2,property_age,has_price,has_surface,has_rooms,has_bathrooms,has_floor,has_construction_year,is_ground_floor,is_basement
https://www.avito.ma/fr/tamraght/appartements/Duplex_vue_piscine_et_mer_Taghazout_Bay_Taourt_57541355.htm,3800000.0,Agadir,Tamraght,,2.0,1.0,1.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/gu%C3%A9liz/appartements/Appartement_en_vent_51m%C2%B2_%C3%A0_Gueliz_Piscine_Rooftop_57658657.htm,1267000.0,Marrakech,Guéliz,51.0,1.0,1.0,1.0,,24843.14,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/palmier/appartements/Appartement_95m2_vendables__Palmier_57820947.htm,1750000.0,Casablanca,Palmier,95.0,2.0,2.0,0.0,,18421.05,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/hay_salam/appartements/Bel_appartement_%C3%A0_vendre_57554092.htm,750000.0,Agadir,Hay Salam,,2.0,1.0,2.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Oujda_57755418.htm,260000.0,Oujda,Autre Secteur,80.0,2.0,1.0,1.0,,3250.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_el_andalous/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Oujda_54393636.htm,460000.0,Oujda,Hay El Andalous,100.0,3.0,1.0,3.0,,4600.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/sal%C3%A9/appartements/Appartement_%C3%A9conomique_%C3%A0_vendre_54265071.htm,190000.0,Salé,Toute la ville,55.0,2.0,1.0,2.0,,3454.55,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/hay_izdihar/appartements/___Superbe_appartement_%C3%A0_vendre_57648626.htm,1450000.0,Marrakech,Hay Izdihar,,3.0,1.0,1.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/route_jerada/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_route_jrada_55095392.htm,450000.0,Oujda,Route Jerada,100.0,3.0,1.0,1.0,,4500.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/andalous/appartements/Appartement_%C3%A0_vendre_105_m%C2%B2_hay_el_andalos_57755280.htm,370000.0,Oujda,Andalous,105.0,3.0,2.0,1.0,,3523.81,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/moulay_youssef/appartements/Appartement_%C3%A0_vendre_3_chambres_%C3%A0_Moulay_Youssef_119_m%C2%B2_57303291.htm,3000000.0,Casablanca,Moulay Youssef,119.0,3.0,2.0,3.0,,25210.08,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/route_de_casablanca/appartements/Appartement_%C3%A0_vendre_154_m%C2%B2_%C3%A0_Marrakech_57804075.htm,2475000.0,Marrakech,Route De Casablanca,154.0,3.0,3.0,2.0,,16071.43,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/route_jerada/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Oujda_57755446.htm,260000.0,Oujda,Route Jerada,70.0,2.0,1.0,1.0,,3714.29,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/harhoura/appartements/Appartement_Neuf_de_138_m%C2%B2_%C3%A0_Harhoura_57756712.htm,2200000.0,Témara,Harhoura,138.0,2.0,2.0,0.0,,15942.03,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/hay_mohammadi/appartements/Appartement_RDC_91_m2_%C3%A0_Hay_Mohammadi_57684858.htm,780000.0,Casablanca,Hay Mohammadi,91.0,4.0,2.0,0.0,,8571.43,,1,1,1,1,1,0,1,0
https://www.avito.ma/fr/gu%C3%A9liz/appartements/El%C3%A9gant_Studio_%C3%A0_vendre_57_m%C2%B2_%C3%A0_Marrakech_57638397.htm,1482000.0,Marrakech,Guéliz,57.0,1.0,1.0,5.0,,26000.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/les_princesses/appartements/Studio_Neuf_Haut_Standing_aux_Princesses_57844693.htm,1760000.0,Casablanca,Les Princesses,,1.0,1.0,5.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/moulay_youssef/appartements/Appartement_%C3%A0_vendre___Moulay_Youssef_57844691.htm,1600000.0,Tanger,Moulay Youssef,,3.0,2.0,7.0,,,,1,0,1,1,1,0,0,0
https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_121_m%C2%B2_%C3%A0_Temara_57725988.htm,1270000.0,Témara,Autre Secteur,121.0,3.0,2.0,2.0,,10495.87,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/sidi_yahya/appartements/Appartement_100_m%C2%B2_%C3%A0_Oujda_54904149.htm,390000.0,Oujda,Sidi Yahya,100.0,3.0,1.0,2.0,,3900.0,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/la_gironde/appartements/Appart_meubl%C3%A9_2ch_salon_balcon_91m2_%C3%A0_vendre_La_Gironde_57823689.htm,950000.0,Casablanca,La Gironde,91.0,2.0,2.0,5.0,,10439.56,,1,1,1,1,1,0,0,0
https://www.avito.ma/fr/riyad_extension/appartements/Appartement_120_millions_57807485.htm,1200000.0,Rabat,Riyad Extension,76.0,2.0,2.0,0.0,,15789.47,,1,1,1,1,1,0,1,0
